date,available_spots
9/21/2017,151
9/21/2017,161
9/21/2017,161
9/21/2017,161
9/21/2017,161
9/21/2017,161
9/21/2017,161
9/21/2017,161
9/21/2017,161
9/21/2017,161
9/21/2017,161
9/21/2017,161
9/21/2017,161
9/21/2017,161
9/21/2017,155
9/21/2017,147
9/21/2017,138
9/22/2017,136
9/22/2017,132
9/22/2017,131
9/22/2017,131
9/22/2017,119
9/22/2017,123
9/22/2017,120
9/22/2017,117
9/22/2017,138
9/22/2017,145
9/22/2017,150
9/22/2017,151
9/22/2017,150
9/22/2017,151
9/22/2017,153
9/22/2017,154
9/22/2017,154
9/22/2017,152
9/22/2017,150
9/22/2017,151
9/22/2017,151
9/22/2017,147
9/22/2017,129
9/22/2017,90
9/23/2017,67
9/23/2017,62
9/23/2017,66
9/23/2017,64
9/23/2017,70
9/23/2017,76
9/23/2017,80
9/23/2017,94
9/23/2017,120
9/23/2017,134
9/23/2017,149
9/23/2017,161
9/23/2017,161
9/23/2017,161
9/23/2017,161
9/23/2017,161
9/23/2017,161
9/23/2017,161
9/23/2017,161
9/23/2017,161
9/23/2017,161
9/23/2017,161
9/23/2017,134
9/23/2017,87
9/24/2017,49
9/24/2017,38
9/24/2017,36
9/24/2017,40
9/24/2017,35
9/24/2017,47
9/24/2017,57
9/24/2017,89
9/24/2017,122
9/24/2017,145
9/24/2017,161
9/24/2017,161
9/24/2017,161
9/24/2017,161
9/24/2017,161
9/24/2017,161
9/24/2017,161
9/24/2017,161
9/24/2017,161
9/24/2017,161
9/24/2017,161
9/24/2017,159
9/24/2017,123
9/24/2017,100
9/25/2017,69
9/25/2017,45
9/25/2017,38
9/25/2017,44
9/25/2017,41
9/25/2017,51
9/25/2017,63
9/25/2017,115
9/25/2017,137
9/25/2017,148
9/25/2017,152
9/25/2017,154
9/25/2017,155
9/25/2017,154
9/25/2017,156
9/25/2017,156
9/25/2017,156
9/25/2017,155
9/25/2017,152
9/25/2017,153
9/25/2017,153
9/25/2017,148
9/25/2017,132
9/25/2017,93
9/26/2017,74
9/26/2017,65
9/26/2017,67
9/26/2017,73
9/26/2017,73
9/26/2017,78
9/26/2017,88
9/26/2017,120
9/26/2017,148
9/26/2017,161
9/26/2017,161
9/26/2017,161
9/26/2017,161
9/26/2017,161
9/26/2017,161
9/26/2017,161
