date_time,X,y
2017-09-21 07:34:00,161,161
2017-09-21 08:00:00,161,161
2017-09-21 09:00:00,161,161
2017-09-21 10:00:00,161,161
2017-09-21 11:00:00,161,161
2017-09-21 12:00:00,161,161
2017-09-21 13:00:00,161,161
2017-09-21 14:00:00,161,129
2017-09-21 15:00:00,129,94
2017-09-21 16:00:00,94,70
2017-09-21 17:00:00,70,51
2017-09-21 18:00:00,51,48
2017-09-21 19:00:00,48,57
2017-09-21 20:00:00,57,48
2017-09-21 21:00:00,48,52
2017-09-21 22:00:00,52,68
2017-09-21 23:00:00,68,93
2017-09-22 00:00:00,93,126
2017-09-22 01:00:00,126,138
2017-09-22 02:00:00,138,151
2017-09-22 03:00:00,151,155
2017-09-22 04:01:00,155,157
2017-09-22 05:00:00,157,159
2017-09-22 06:00:00,159,159
2017-09-22 07:00:00,159,159
2017-09-22 08:00:00,159,159
2017-09-22 09:00:00,159,158
2017-09-22 10:00:00,158,157
2017-09-22 11:00:00,157,157
2017-09-22 12:00:00,157,159
2017-09-22 13:00:00,159,156
2017-09-22 14:00:00,156,135
2017-09-22 15:00:00,135,89
2017-09-22 16:00:00,89,60
2017-09-22 17:00:00,60,56
2017-09-22 18:00:00,56,55
2017-09-22 19:00:00,55,55
2017-09-22 20:00:00,55,61
2017-09-22 21:00:00,61,61
2017-09-22 22:00:00,61,76
2017-09-22 23:00:00,76,112
2017-09-23 00:00:00,112,140
2017-09-23 01:00:00,140,148
2017-09-23 02:00:00,148,151
2017-09-23 03:00:00,151,155
2017-09-23 04:00:00,155,155
2017-09-23 05:00:00,155,157
2017-09-23 06:00:00,157,157
2017-09-23 07:00:00,157,157
2017-09-23 08:00:00,157,157
2017-09-23 09:00:00,157,157
2017-09-23 10:01:00,157,157
2017-09-23 11:00:00,157,155
2017-09-23 12:00:00,155,148
2017-09-23 13:00:00,148,140
2017-09-23 14:00:00,140,133
2017-09-23 15:00:00,133,127
2017-09-23 16:00:00,127,121
2017-09-23 17:00:00,121,114
2017-09-23 18:00:00,114,108
2017-09-23 19:00:00,108,101
